,Country,City,AccentCity,Region,Population,Latitude,Longitude
2908046,us,birmingham,Birmingham,AL,231621.0,33.5205556,-86.8025
2909571,us,huntsville,Huntsville,AL,167528.0,34.7302778,-86.5861111
2910216,us,mobile,Mobile,AL,190274.0,30.6941667,-88.0430556
2910236,us,montgomery,Montgomery,AL,198325.0,32.3666667,-86.3
2912001,us,anchorage,Anchorage,AK,276263.0,61.2180556,-149.90027780000003
2913066,us,chandler,Chandler,AZ,234297.0,33.3061111,-111.8405556
2913404,us,gilbert,Gilbert,AZ,170829.0,33.3527778,-111.7883333
2913414,us,glendale,Glendale,AZ,240112.0,33.538611100000004,-112.1852778
2913764,us,mesa,Mesa,AZ,449878.0,33.4222222,-111.8219444
2913974,us,peoria,Peoria,AZ,139368.0,33.580555600000004,-112.2366667
2913986,us,phoenix,Phoenix,AZ,1428509.0,33.4483333,-112.0733333
2914218,us,scottsdale,Scottsdale,AZ,225796.0,33.5091667,-111.8983333
2914424,us,tempe,Tempe,AZ,158368.0,33.4147222,-111.9086111
2914501,us,tucson,Tucson,AZ,518907.0,32.2216667,-110.9258333
2916351,us,little rock,Little Rock,AR,184217.0,34.7463889,-92.2894444
2917977,us,anaheim,Anaheim,CA,333689.0,33.8352778,-117.9136111
2917999,us,antioch,Antioch,CA,106038.0,38.005,-121.8047222
2918108,us,bakersfield,Bakersfield,CA,291389.0,35.3733333,-119.0177778
2918240,us,berkeley,Berkeley,CA,100158.0,37.8716667,-122.2716667
2918487,us,burbank,Burbank,CA,104690.0,34.1808333,-118.3080556
2918784,us,chula vista,Chula Vista,CA,213032.0,32.64,-117.0833333
2918890,us,concord,Concord,CA,125626.0,37.978055600000005,-122.03
2918922,us,corona,Corona,CA,152954.0,33.8752778,-117.56555559999998
2918936,us,costa mesa,Costa Mesa,CA,109250.0,33.6411111,-117.9177778
2919217,us,downey,Downey,CA,111862.0,33.94,-118.1316667
2919279,us,east los angeles,East Los Angeles,CA,125157.0,34.0238889,-118.1711111
2919348,us,el monte,El Monte,CA,125372.0,34.068611100000005,-118.0266667
2919422,us,escondido,Escondido,CA,137119.0,33.1191667,-117.0855556
2919453,us,fairfield,Fairfield,CA,105741.0,38.2494444,-122.0388889
2919547,us,fontana,Fontana,CA,169160.0,34.0922222,-117.43416670000002
2919611,us,fremont,Fremont,CA,202615.0,37.5483333,-121.9875
2919620,us,fresno,Fresno,CA,465183.0,36.7477778,-119.7713889
2919637,us,fullerton,Fullerton,CA,135353.0,33.8702778,-117.9244444
2919652,us,garden grove,Garden Grove,CA,167232.0,33.7738889,-117.94055559999998
2919706,us,glendale,Glendale,CA,203201.0,34.1425,-118.2541667
2919939,us,hayward,Hayward,CA,140494.0,37.6688889,-122.0797222
2920107,us,huntington beach,Huntington Beach,CA,195968.0,33.6602778,-117.99833329999998
2920155,us,inglewood,Inglewood,CA,116158.0,33.9616667,-118.3522222
2920178,us,irvine,Irvine,CA,189297.0,33.6694444,-117.8222222
2920482,us,lancaster,Lancaster,CA,129548.0,34.6980556,-118.1358333
2920632,us,long beach,Long Beach,CA,482618.0,33.76694439999999,-118.18833329999998
2920652,us,los angeles,Los Angeles,CA,3877129.0,34.0522222,-118.2427778
2920988,us,modesto,Modesto,CA,216008.0,37.6391667,-120.9958333
2921059,us,moreno valley,Moreno Valley,CA,168629.0,33.9375,-117.2297222
2921283,us,norwalk,Norwalk,CA,109111.0,33.902222200000004,-118.08083329999998
2921317,us,oakland,Oakland,CA,394579.0,37.8044444,-122.2697222
2921338,us,oceanside,Oceanside,CA,170340.0,33.1958333,-117.3786111
2921397,us,ontario,Ontario,CA,172808.0,34.0633333,-117.65
2921403,us,orange,Orange,CA,133874.0,33.7877778,-117.8522222
2921451,us,oxnard,Oxnard,CA,187235.0,34.1975,-119.1761111
2921484,us,palmdale,Palmdale,CA,135294.0,34.57944439999999,-118.1155556
2921529,us,pasadena,Pasadena,CA,144618.0,34.1477778,-118.1436111
2921708,us,pomona,Pomona,CA,156183.0,34.0552778,-117.7513889
2921824,us,rancho cucamonga,Rancho Cucamonga,CA,168557.0,34.1063889,-117.5922222
2921912,us,rialto,Rialto,CA,101523.0,34.1063889,-117.36944440000002
2921928,us,richmond,Richmond,CA,103041.0,37.9358333,-122.3466667
2921969,us,riverside,Riverside,CA,297554.0,33.9533333,-117.3952778
2922031,us,roseville,Roseville,CA,112647.0,38.7522222,-121.2869444
2922066,us,sacramento,Sacramento,CA,467898.0,38.5816667,-121.4933333
2922080,us,salinas,Salinas,CA,148691.0,36.6777778,-121.65444440000002
2922099,us,san bernardino,San Bernardino,CA,202381.0,34.1083333,-117.2888889
2922103,us,san diego,San Diego,CA,1287050.0,32.7152778,-117.1563889
2922109,us,san francisco,San Francisco,CA,732072.0,37.775,-122.4183333
2922119,us,san jose,San Jose,CA,897460.0,37.3394444,-121.8938889
2922167,us,santa ana,Santa Ana,CA,343054.0,33.7455556,-117.8669444
2922171,us,santa clara,Santa Clara,CA,102250.0,37.3541667,-121.95416670000002
2922172,us,santa clarita,Santa Clarita,CA,168927.0,34.3916667,-118.5416667
2922185,us,santa rosa,Santa Rosa,CA,155118.0,38.4405556,-122.7133333
2922360,us,simi valley,Simi Valley,CA,119417.0,34.2694444,-118.7805556
2922538,us,stockton,Stockton,CA,289580.0,37.9577778,-121.2897222
2922609,us,sunnyvale,Sunnyvale,CA,126499.0,37.3688889,-122.0352778
2922751,us,thousand oaks,Thousand Oaks,CA,127942.0,34.17055560000001,-118.8366667
2922800,us,torrance,Torrance,CA,144963.0,33.8358333,-118.3397222
2922913,us,vallejo,Vallejo,CA,120446.0,38.1041667,-122.25555559999998
2922989,us,visalia,Visalia,CA,107431.0,36.3302778,-119.2911111
2923084,us,west covina,West Covina,CA,109756.0,34.068611100000005,-117.93805559999998
2923359,us,arvada,Arvada,CO,101732.0,39.8027778,-105.0869444
2923369,us,aurora,Aurora,CO,299780.0,39.7294444,-104.8313889
2923583,us,colorado springs,Colorado Springs,CO,373072.0,38.8338889,-104.8208333
2923644,us,denver,Denver,CO,555981.0,39.7391667,-104.98416670000002
2923766,us,fort collins,Fort Collins,CO,129252.0,40.5852778,-105.0838889
2923927,us,highlands ranch,Highlands Ranch,CO,101565.0,39.5538889,-104.9688889
2924062,us,lakewood,Lakewood,CO,140772.0,39.7047222,-105.08083329999998
2924398,us,pueblo,Pueblo,CO,104293.0,38.2544444,-104.6086111
2924633,us,thornton,Thornton,CO,104658.0,39.868055600000005,-104.9713889
2924745,us,westminster,Westminster,CO,104037.0,39.8366667,-105.0366667
2924873,us,bridgeport,Bridgeport,CT,139090.0,41.1669444,-73.20527779999999
2925135,us,hartford,Hartford,CT,124019.0,41.763611100000006,-72.6855556
2925324,us,new haven,New Haven,CT,124922.0,41.3080556,-72.9286111
2925595,us,stamford,Stamford,CT,121230.0,41.0533333,-73.5391667
2925681,us,waterbury,Waterbury,CT,108507.0,41.5580556,-73.0519444
2927451,us,washington,Washington,DC,552433.0,38.895,-77.0366667
2927886,us,cape coral,Cape Coral,FL,130807.0,26.5625,-81.94972220000001
2927995,us,clearwater,Clearwater,FL,108064.0,27.965555600000005,-82.80027779999999
2928056,us,coral springs,Coral Springs,FL,131674.0,26.2708333,-80.27083329999999
2928452,us,fort lauderdale,Fort Lauderdale,FL,170510.0,26.1219444,-80.14361109999999
2928511,us,gainesville,Gainesville,FL,125684.0,29.6513889,-82.325
2928706,us,hialeah,Hialeah,FL,224840.0,25.8572222,-80.2783333
2928758,us,hollywood,Hollywood,FL,144821.0,26.0108333,-80.14972220000001
2928850,us,jacksonville,Jacksonville,FL,797557.0,30.3319444,-81.6558333
2929260,us,miami,Miami,FL,382894.0,25.7738889,-80.1938889
2929296,us,miramar,Miramar,FL,112922.0,25.9869444,-80.2325
2929548,us,orlando,Orlando,FL,207970.0,28.538055600000003,-81.3794444
2929657,us,pembroke pines,Pembroke Pines,FL,155862.0,26.0027778,-80.2241667
2929782,us,port saint lucie,Port Saint Lucie,FL,119371.0,27.293611100000003,-80.35055559999999
2929957,us,saint petersburg,Saint Petersburg,FL,246316.0,27.770555600000005,-82.67944440000001
2930258,us,tallahassee,Tallahassee,FL,153583.0,30.43805560000001,-84.2808333
2930263,us,tampa,Tampa,FL,324465.0,27.9472222,-82.45861109999998
2930809,us,atlanta,Atlanta,GA,422908.0,33.7488889,-84.3880556
2931691,us,columbus,Columbus,GA,185208.0,32.4608333,-84.98777779999999
2934882,us,savannah,Savannah,GA,126119.0,32.0833333,-81.1
2936286,us,honolulu,Honolulu,HI,384241.0,21.3069444,-157.8583333
2938001,us,aurora,Aurora,IL,174276.0,41.7605556,-88.32
2938450,us,chicago,Chicago,IL,2841952.0,41.85,-87.65
2939544,us,joliet,Joliet,IL,134957.0,41.525,-88.0816667
2940129,us,naperville,Naperville,IL,143850.0,41.7858333,-88.1472222
2940417,us,peoria,Peoria,IL,113004.0,40.693611100000005,-89.58888890000001
2940668,us,rockford,Rockford,IL,152765.0,42.271111100000006,-89.09388890000001
2940977,us,springfield,Springfield,IL,115975.0,39.8016667,-89.64361109999999
2942387,us,evansville,Evansville,IN,115474.0,37.9747222,-87.5558333
2942471,us,fort wayne,Fort Wayne,IN,229715.0,41.1305556,-85.1288889
2942842,us,indianapolis,Indianapolis,IN,773283.0,39.7683333,-86.1580556
2944105,us,south bend,South Bend,IN,103760.0,41.6833333,-86.25
2944974,us,cedar rapids,Cedar Rapids,IA,122945.0,42.0083333,-91.6438889
2945157,us,des moines,Des Moines,IA,193180.0,41.60055560000001,-93.6088889
2947562,us,kansas city,Kansas City,KS,442028.0,39.1141667,-94.6272222
2947890,us,olathe,Olathe,KS,113647.0,38.8813889,-94.8188889
2947917,us,overland park,Overland Park,KS,166010.0,38.9822222,-94.6705556
2948256,us,topeka,Topeka,KS,121570.0,39.0483333,-95.6777778
2948376,us,wichita,Wichita,KS,355244.0,37.6922222,-97.3372222
2950645,us,lexington-fayette,Lexington-Fayette,KY,272079.0,38.0497222,-84.45861109999998
2950744,us,louisville,Louisville,KY,243639.0,38.2541667,-85.7594444
2952793,us,baton rouge,Baton Rouge,LA,223349.0,30.450555600000005,-91.1544444
2954148,us,lafayette,Lafayette,LA,112197.0,30.223888899999995,-92.0197222
2954452,us,metairie,Metairie,LA,142489.0,29.9838889,-90.1527778
2954593,us,new orleans,New Orleans,LA,459336.0,29.9544444,-90.075
2955155,us,shreveport,Shreveport,LA,196980.0,32.525,-93.75
2957964,us,baltimore,Baltimore,MD,610892.0,39.2902778,-76.6125
